date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:43:05	1982/1982	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/f6c6c738e2938ff721a7eb7fc3db7aa6?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/f6c6c738e2938ff721a7eb7fc3db7aa65055.png	(from https://ambersway.com/2018/04/05/day-15-evening-edition/)
17:43:35	387545/387545	URF---	200	untouched ('OK%20(cached)')	image/png		https://amberswayblog.files.wordpress.com/2018/05/outside.png?w=437&h=581	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/05/outsidea43d.png	(from https://ambersway.com/2018/05/27/day-67-dance-recital/)
17:43:36	1091/1091	URF---	200	untouched ('OK%20(cached)')	image/png		https://1.gravatar.com/avatar/7bdebac89d028915543756a12568159c?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/1.gravatar.com/avatar/7bdebac89d028915543756a12568159c5055.png	(from https://ambersway.com/2018/04/06/day-16-evening-edition/)
17:43:54	176797/176797	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/amber-e1528421439459.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/amber-e15284214394594829.jpg	(from https://ambersway.com/2018/06/07/day-78-a-special-ending-to-a-long-day/)
17:44:01	149834/149834	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/img_20180617_122949-e1529270012188.jpg?w=656&h=300&crop=1	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/img_20180617_122949-e1529270012188cc46.jpg	(from https://ambersway.com/2018/06/17/day-88-fathers-day-determination/)
17:44:06	901/901	URF---	200	untouched ('OK%20(cached)')	image/png		https://2.gravatar.com/avatar/866e19e49ac67e79359c6f0f0e3ab000?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/2.gravatar.com/avatar/866e19e49ac67e79359c6f0f0e3ab0005055.png	(from https://ambersway.com/2018/04/08/a-mothers-self-doubt/)
17:44:22	22016/22016	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/img_20180617_120600157_hdr.jpg?w=247&h=185	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/img_20180617_120600157_hdr44a5.jpg	(from https://ambersway.com/2018/06/17/day-88-fathers-day-determination/)
17:44:37	1605/1605	URF---	200	untouched ('OK%20(cached)')	image/png		https://0.gravatar.com/avatar/69b801a87d57c604b7be5669d68535d2?s=60&d=identicon&r=G	/home/mjs/sites/ambersway/0.gravatar.com/avatar/69b801a87d57c604b7be5669d68535d25055.png	(from https://ambersway.com/2018/04/09/day-19-a-moving-day/)
17:44:41	124147/124147	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/img_20180617_121143607_hdr.jpg?w=656	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/img_20180617_121143607_hdr4829.jpg	(from https://ambersway.com/2018/06/17/day-88-fathers-day-determination/)
17:44:50	37804/37804	URF---	200	untouched ('OK%20(cached)')	image/jpeg		https://amberswayblog.files.wordpress.com/2018/06/am2-e1529879939435.jpg?w=190&h=300	/home/mjs/sites/ambersway/amberswayblog.files.wordpress.com/2018/06/am2-e1529879939435853a.jpg	(from https://ambersway.com/2018/06/24/day-95-the-truth-machine/)
